iter	RMSE
0	41.15873694
1	39.80607649
2	38.47028226
3	37.37345264
4	36.21732167
5	35.124056
6	33.97668902
7	32.88649202
8	31.78135221
9	30.78195821
10	29.88908272
11	28.99128867
12	28.07451725
13	27.18536561
14	26.39158767
15	25.5783188
16	24.7357887
17	24.00996008
18	23.28610291
19	22.52791578
20	21.85878568
21	21.24024078
22	20.57617381
23	19.96011758
24	19.35070605
25	18.76883675
26	18.24906223
27	17.74172148
28	17.21388772
29	16.73067766
30	16.20670171
31	15.70729362
32	15.28210732
33	14.84610048
34	14.4591481
35	14.02806795
36	13.58534174
37	13.20955578
38	12.82011424
39	12.42466938
40	12.07266074
41	11.7549598
42	11.4441001
43	11.13809741
44	10.81731833
45	10.54579644
46	10.25106655
47	9.952475213
48	9.677009737
49	9.398283952
50	9.142403004
51	8.886881374
52	8.653275296
53	8.441759237
54	8.213978944
55	8.008062144
56	7.795067087
57	7.615458551
58	7.422523706
59	7.222874602
60	7.036956289
61	6.871895987
62	6.705320046
63	6.552677063
64	6.412210718
65	6.250007304
66	6.111734935
67	5.994631585
68	5.864761713
69	5.725495857
70	5.59338359
71	5.469026528
72	5.340158803
73	5.216852332
74	5.11118672
75	5.001311138
76	4.890159644
77	4.791220844
78	4.687983487
79	4.584614133
80	4.493479143
81	4.406352552
82	4.324749718
83	4.230691778
84	4.158861657
85	4.084528729
86	4.005571285
87	3.927935869
88	3.862827032
89	3.797560368
90	3.734059089
91	3.667822214
92	3.601647482
93	3.587052804
94	3.521713334
95	3.468125701
96	3.413902029
97	3.364718722
98	3.317502739
99	3.268483639
100	3.227938814
101	3.216975805
102	3.202432862
103	3.17938312
104	3.166934902
105	3.119968685
106	3.067857803
107	3.019821428
108	2.979529007
109	2.964564698
110	2.940221137
111	2.904003568
112	2.858795498
113	2.846512106
114	2.814060698
115	2.800671038
116	2.789808469
117	2.779160801
118	2.767532267
119	2.754631646
120	2.734937323
121	2.726306789
122	2.687223373
123	2.671650842
124	2.660625982
125	2.65104533
126	2.63943465
127	2.602560707
128	2.574250148
129	2.561302596
130	2.550899072
131	2.541940654
132	2.509193722
133	2.500345959
134	2.464452117
135	2.454482214
136	2.443426657
137	2.433676198
138	2.40191882
139	2.373082059
140	2.36133819
141	2.351493658
142	2.343791588
143	2.329844708
144	2.29520924
145	2.287875099
146	2.265637811
147	2.257012219
148	2.249030787
149	2.242054186
150	2.212928214
151	2.185804812
152	2.179100972
153	2.153068784
154	2.14398182
155	2.121876393
156	2.108986152
157	2.102439522
158	2.09632009
159	2.089062639
160	2.081214318
161	2.075372427
162	2.068345612
163	2.049313354
164	2.03012456
165	2.007328078
166	2.001186331
167	1.980969607
168	1.97530413
169	1.969032437
170	1.963688772
171	1.958622929
172	1.938668674
173	1.932759422
174	1.913806386
175	1.894374976
176	1.88966487
177	1.869466957
178	1.864275021
179	1.858826152
180	1.854305536
181	1.848502558
182	1.84300833
183	1.825923499
184	1.820870412
185	1.816799981
186	1.812800285
187	1.80806368
188	1.803317205
189	1.786255719
190	1.781664845
191	1.76396925
192	1.759518434
193	1.74364549
194	1.739331611
195	1.724325349
196	1.720152496
197	1.704790598
198	1.700748244
199	1.696784292
200	1.692897289
201	1.689229181
202	1.686105369
203	1.682415713
204	1.678798146
205	1.66455824
206	1.651363818
207	1.637269705
208	1.63385378
209	1.63050472
210	1.627221267
211	1.613986856
212	1.601228144
213	1.598477976
214	1.585723323
215	1.581838717
216	1.578850176
217	1.575920487
218	1.573048528
219	1.570233195
220	1.557398367
221	1.546778971
222	1.54409529
223	1.533566761
224	1.530976744
225	1.528437886
226	1.525949203
227	1.51645806
228	1.504490414
229	1.502119315
230	1.498249756
231	1.487950886
232	1.479570688
233	1.477354893
234	1.475182997
235	1.47305415
236	1.465483524
237	1.463430093
238	1.454550106
239	1.452566725
240	1.450622714
241	1.4427185
242	1.434639573
243	1.432792906
244	1.42576193
245	1.416468355
246	1.408837824
247	1.407117089
248	1.401283852
249	1.399612906
250	1.392622248
251	1.385537788
252	1.383958749
253	1.382397508
254	1.374388329
255	1.372899674
256	1.366582933
257	1.36513314
258	1.362146876
259	1.360753674
260	1.35621393
261	1.352047681
262	1.345507898
263	1.344207878
264	1.342956352
265	1.341707133
266	1.334796608
267	1.333593408
268	1.330227159
269	1.325283892
270	1.31876613
271	1.317645207
272	1.316546742
273	1.312355508
274	1.311298024
275	1.307532364
276	1.302165882
277	1.296705428
278	1.291961279
279	1.286942215
280	1.284835773
281	1.28046294
282	1.277931784
283	1.275491613
284	1.270458755
285	1.268481907
286	1.266338322
287	1.261036835
288	1.258517429
289	1.254599637
290	1.253803203
291	1.248881729
292	1.244234705
293	1.240979657
294	1.240262734
295	1.235057278
296	1.234339916
297	1.233637133
298	1.231471699
299	1.226287632
300	1.221841825
301	1.221048222
302	1.220401715
303	1.219768402
304	1.219008615
305	1.21389966
306	1.209605322
307	1.209014412
308	1.205249016
309	1.202449715
310	1.201889788
311	1.196957407
312	1.196418336
313	1.193873167
314	1.190595879
315	1.185658809
316	1.18515826
317	1.183197755
318	1.17794325
319	1.177466527
320	1.17282461
321	1.168246184
322	1.165716491
323	1.163325905
324	1.161066033
325	1.157660078
326	1.15723626
327	1.156821166
328	1.156287886
329	1.155869004
330	1.150006456
331	1.146062504
332	1.141358965
333	1.136688905
334	1.132307798
335	1.129141881
336	1.126055313
337	1.120931231
338	1.120588768
339	1.116437378
340	1.113831237
341	1.113505923
342	1.113187338
343	1.109456938
344	1.105153692
345	1.101929146
346	1.098566709
347	1.09701022
348	1.096729818
349	1.09417509
350	1.091234587
351	1.08852343
352	1.08826814
353	1.086396541
354	1.081788394
355	1.081533847
356	1.078290522
357	1.074579843
358	1.07433617
359	1.07410332
360	1.071896453
361	1.069583384
362	1.066494101
363	1.066270579
364	1.062599788
365	1.058145037
366	1.056098418
367	1.053755393
368	1.050129928
369	1.047757921
370	1.044849012
371	1.043478214
372	1.040412846
