iter	Passed	Remaining
0	317	316970
1	325	162501
2	333	110679
3	336	83729
4	339	67577
5	342	56807
6	345	49060
7	348	43212
8	350	38637
9	353	35044
10	361	32459
11	363	29934
12	366	27807
13	370	26068
14	376	24714
15	378	23308
16	381	22070
17	384	20952
18	386	19981
19	393	19268
20	396	18489
21	398	17720
22	401	17048
23	407	16562
24	410	16017
25	414	15512
26	417	15047
27	424	14743
28	427	14311
29	430	13904
30	433	13539
31	439	13307
32	442	12970
33	445	12650
34	447	12343
35	454	12170
36	457	11895
37	460	11649
38	462	11403
39	470	11282
40	472	11053
41	475	10841
42	478	10652
43	484	10536
44	488	10358
45	490	10182
46	493	10013
47	499	9900
48	502	9750
49	507	9637
50	509	9484
51	512	9347
52	515	9207
53	518	9080
54	520	8950
55	523	8831
56	526	8709
57	529	8596
58	531	8482
59	538	8444
60	541	8335
61	544	8240
62	547	8136
63	553	8087
64	555	7992
65	558	7898
66	560	7805
67	562	7714
68	567	7663
69	570	7578
70	573	7501
71	576	7429
72	578	7350
73	584	7312
74	587	7246
75	591	7194
76	594	7130
77	599	7090
78	602	7022
79	604	6953
80	607	6887
81	609	6825
82	614	6793
83	617	6734
84	620	6676
85	622	6618
86	625	6563
87	631	6540
88	633	6487
89	636	6439
90	639	6385
91	643	6351
92	646	6303
93	647	6244
94	650	6200
95	654	6163
96	656	6115
97	661	6091
98	664	6048
99	667	6004
100	669	5961
101	670	5906
102	676	5888
103	678	5846
104	680	5798
105	682	5759
106	685	5718
107	687	5679
108	693	5667
109	694	5621
110	697	5583
111	700	5553
112	702	5516
113	706	5492
114	709	5460
115	711	5425
116	713	5382
117	714	5339
118	715	5300
119	717	5261
120	722	5245
121	723	5205
122	725	5175
123	730	5157
124	732	5126
125	733	5090
126	749	5153
127	755	5146
128	758	5123
129	762	5100
130	766	5082
131	771	5073
132	775	5057
133	777	5023
134	779	4995
135	782	4968
136	789	4970
137	790	4937
138	792	4910
139	795	4889
140	798	4863
141	802	4851
142	805	4824
143	807	4799
144	809	4775
145	811	4744
146	815	4733
147	818	4711
148	820	4684
149	822	4658
150	824	4638
151	827	4617
152	829	4589
153	832	4573
154	834	4547
155	836	4528
156	840	4510
157	841	4483
158	844	4468
159	846	4442
160	848	4421
161	849	4396
162	851	4371
163	853	4352
164	856	4336
165	862	4334
166	864	4312
167	867	4294
168	868	4271
169	870	4248
170	871	4225
171	872	4201
172	876	4191
173	878	4168
174	880	4150
175	883	4134
176	884	4113
177	889	4106
178	891	4090
179	893	4068
180	894	4049
181	896	4028
182	898	4012
183	900	3995
184	902	3977
185	905	3962
186	906	3941
187	909	3926
188	910	3906
189	913	3892
190	914	3872
191	916	3858
192	920	3847
193	923	3836
194	924	3817
195	927	3805
196	929	3787
197	932	3775
198	935	3765
199	936	3746
200	937	3728
201	939	3713
202	941	3695
203	942	3677
204	943	3659
205	946	3646
206	952	3648
207	956	3642
208	959	3629
209	960	3613
210	961	3596
211	967	3597
212	970	3585
213	971	3568
214	974	3557
215	976	3544
216	977	3528
217	981	3521
218	982	3505
219	984	3489
220	986	3478
221	989	3467
222	990	3451
223	996	3450
224	997	3435
225	998	3420
226	1000	3405
227	1002	3393
228	1004	3382
229	1006	3368
230	1007	3355
231	1013	3353
232	1015	3342
233	1016	3328
234	1018	3314
235	1019	3300
236	1025	3301
